what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1311300652392
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1311300671704
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1311300688235
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1311301111291
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1311301138681
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1311301242000
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1311301253575
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1311301260058
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1311301267142
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1311301274573
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1311301343158
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1311305544735
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1311305553080
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1311305569505
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1311305575770
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1311305728098
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1311305733427
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1311305737116
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1311305741475
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1311307500016
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1311307502379
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1311307509685
closed,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1311307516672
stopped,bundle,org.eclipse.mylyn.ide.ant,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ant",1311307517722
stopped,bundle,org.eclipse.pde.api.tools.ui,1.0.201.v20100820_r361,"org.eclipse.pde.api.tools.ui",1311307517723
stopped,bundle,org.eclipse.pde.ds.ui,1.0.100.v20100601,"org.eclipse.pde.ds.ui",1311307517843
stopped,bundle,org.eclipse.pde.runtime,3.4.200.v20100601,"org.eclipse.pde.runtime",1311307517895
